,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team,season,home_team_win,away_team_win,home_team_draw,away_team_draw,total_win,total_draw,overall_win_perc
47,744,2011-02-22 00:00:00,60,Balanced,Little,50,Mixed,Organised,40,Normal,45,Normal,60,Normal,Organised,55,Medium,55,Press,50,Normal,Cover,Liverpool,2010/2011,12,5,4,3,17,7,0.3815789473684211
48,745,2012-02-22 00:00:00,60,Balanced,Little,60,Mixed,Organised,48,Normal,73,Lots,53,Normal,Organised,50,Medium,48,Press,62,Normal,Cover,Liverpool,2011/2012,6,8,9,1,14,10,0.34210526315789475
49,746,2013-09-20 00:00:00,39,Balanced,Little,44,Mixed,Organised,42,Normal,34,Normal,54,Normal,Organised,59,Medium,52,Press,61,Normal,Cover,Liverpool,2012/2013,9,7,6,7,16,13,0.40131578947368424
50,747,2014-09-19 00:00:00,71,Fast,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover,Liverpool,2013/2014,16,10,1,5,26,6,0.5526315789473685
51,748,2015-09-10 00:00:00,66,Balanced,Normal,45,Mixed,Organised,34,Normal,34,Normal,46,Normal,Organised,51,Medium,52,Press,61,Normal,Cover,Liverpool,2014/2015,10,8,5,3,18,8,0.40789473684210525
52,801,2010-02-22 00:00:00,70,Fast,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,Manchester City,2009/2010,12,6,4,9,18,13,0.4407894736842105
53,802,2011-02-22 00:00:00,70,Fast,Little,60,Mixed,Organised,70,Risky,65,Normal,75,Lots,Free Form,65,Medium,65,Press,50,Normal,Cover,Manchester City,2010/2011,13,8,4,4,21,8,0.46710526315789475
54,803,2012-02-22 00:00:00,45,Balanced,Little,55,Mixed,Organised,40,Normal,38,Normal,48,Normal,Free Form,50,Medium,60,Press,54,Normal,Cover,Manchester City,2011/2012,18,10,1,4,28,5,0.5855263157894737
55,804,2013-09-20 00:00:00,36,Balanced,Little,34,Mixed,Organised,39,Normal,44,Normal,38,Normal,Free Form,42,Medium,44,Press,54,Normal,Cover,Manchester City,2012/2013,14,9,3,6,23,9,0.5131578947368421
56,805,2014-09-19 00:00:00,59,Balanced,Normal,29,Short,Organised,32,Safe,49,Normal,62,Normal,Organised,42,Medium,44,Press,54,Normal,Cover,Manchester City,2013/2014,17,10,1,4,27,5,0.5657894736842105
57,806,2015-09-10 00:00:00,59,Balanced,Normal,29,Short,Free Form,38,Normal,36,Normal,24,Little,Free Form,48,Medium,47,Press,54,Normal,Cover,Manchester City,2014/2015,14,10,3,4,24,7,0.5197368421052632
58,807,2010-02-22 00:00:00,70,Fast,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,Manchester United,2009/2010,16,11,1,3,27,4,0.5592105263157895
59,808,2011-02-22 00:00:00,65,Balanced,Little,40,Mixed,Organised,65,Normal,65,Normal,70,Lots,Free Form,45,Medium,45,Press,65,Normal,Cover,Manchester United,2010/2011,18,5,1,10,23,11,0.5263157894736842
